K,M,residual_linf,zero_mode_residual_abs,max_mode,small_divisor_min_denominator,small_divisor_min_mode,finite_max_inverse,finite_max_inverse_mode,rep_nu,rep_u_l1_nu,rep_residual_l1_nu,rep_cohomology_correction_l1_nu,rep_correction_to_u_ratio,rep_correction_tail_075_weighted_ratio,recommendation_label,recommendation_score,npz_path,record_path
0.9663,128,8.743006318923108e-16,8.776003275896417e-19,64,0.0510806292927736,55,19.576892725193392,55,1.003,0.08967734474659975,1.0401185195885186e-15,1.7306810879185544e-15,1.929897782777713e-14,0.4062016360400059,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9663000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9663000000_M128_steps44.phase3_small_divisor_audit.json
0.9663,256,4.595213098923523e-13,2.654927196338155e-18,128,0.03157168686895751,89,31.673949008509837,89,1.003,0.09095876290961055,1.1169584113339847e-12,1.6503712465494668e-12,1.814416988266989e-11,0.27098988492240783,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9663000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9663000000_M256_steps44.phase3_small_divisor_audit.json
0.9663,512,2.145505995088115e-14,4.876480647304645e-18,256,0.012059739125201429,233,82.92053332316983,233,1.003,0.09208437739023745,7.184399282816528e-14,1.2322990109630265e-12,1.3382280967603867e-11,0.7813360401621212,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9663000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9663000000_M512_steps44.phase3_small_divisor_audit.json
0.9663,1024,1.203984828501703e-14,3.215488342714176e-18,512,0.007453356589541556,377,134.16773878807646,377,1.003,0.09180329404428267,6.374856305087668e-14,1.9910501666834904e-12,2.168822140219803e-11,0.05404208992075441,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9663000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9663000000_M1024_steps44.phase3_small_divisor_audit.json
0.9666,128,2.0775048348298242e-14,1.3469621696456292e-18,64,0.0510806292927736,55,19.576892725193392,55,1.003,0.08980010654518555,4.06569119029085e-14,1.309593651285065e-13,1.458343092974065e-12,0.29649315871630133,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9666000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9666000000_M128_steps44.phase3_small_divisor_audit.json
0.9666,256,5.115075030204252e-13,8.112288789905544e-18,128,0.03157168686895751,89,31.673949008509837,89,1.003,0.0911140397181403,1.2620978820693523e-12,1.8133179940716707e-12,1.990163096358298e-11,0.2729608822108346,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9666000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9666000000_M256_steps44.phase3_small_divisor_audit.json
0.9666,512,2.99482660892636e-13,1.7264390451996203e-18,256,0.012059739125201429,233,82.92053332316983,233,1.003,0.09240559220269125,8.591402174442507e-13,2.8560682442590347e-12,3.0907958881906866e-11,0.48640815001649523,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9666000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9666000000_M512_steps44.phase3_small_divisor_audit.json
0.9666,1024,1.49741330446318e-14,1.002047920548496e-18,512,0.007453356589541556,377,134.16773878807646,377,1.003,0.09201564641633492,6.965462097850883e-14,2.0504155489761147e-12,2.2283335811159593e-11,0.10984279276544617,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9666000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9666000000_M1024_steps44.phase3_small_divisor_audit.json
0.967,128,3.1710745140856034e-15,6.286479791153998e-18,64,0.0510806292927736,55,19.576892725193392,55,1.003,0.08996466943195877,3.5326186978976076e-15,6.283080664614185e-15,6.983942367916046e-14,0.440543477986482,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9670000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9670000000_M128_steps44.phase3_small_divisor_audit.json
0.967,256,5.941913627793838e-13,2.4477144184210615e-18,128,0.03157168686895751,89,31.673949008509837,89,1.003,0.09132313736878442,1.4522534652292257e-12,2.0604382536511436e-12,2.2562061631003836e-11,0.2740558137373085,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9670000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9670000000_M256_steps44.phase3_small_divisor_audit.json
0.967,512,4.377609386096992e-13,9.22238856658372e-19,256,0.012059739125201429,233,82.92053332316983,233,1.003,0.09302574511215589,1.2558495969540531e-12,3.641631854517739e-12,3.9146494877597905e-11,0.43259790073098636,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9670000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9670000000_M512_steps44.phase3_small_divisor_audit.json
0.967,1024,1.3656610564627414e-14,6.526578513041522e-20,512,0.007453356589541556,377,134.16773878807646,377,1.003,0.0923074154985096,6.480285737110981e-14,1.99612832719528e-12,2.162478839229888e-11,0.05995843063745608,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9670000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9670000000_M1024_steps44.phase3_small_divisor_audit.json
0.9675,128,2.491062911502695e-15,7.527909447021056e-19,64,0.0510806292927736,55,19.576892725193392,55,1.003,0.09017180017140403,2.7710500902798034e-15,5.229753768691308e-15,5.799766400083257e-14,0.4565861654860349,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9675000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9675000000_M128_steps44.phase3_small_divisor_audit.json
0.9675,256,7.162326287613041e-13,1.862534687390922e-17,128,0.03157168686895751,89,31.673949008509837,89,1.003,0.09158788038686153,1.7390709482499511e-12,2.4011855825150438e-12,2.6217285216914998e-11,0.2750529221842651,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9675000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9675000000_M256_steps44.phase3_small_divisor_audit.json
0.9675,1024,1.50938289644742e-14,6.769517514096548e-19,512,0.007453356589541556,377,134.16773878807646,377,1.003,0.09268711744960859,8.005096384040282e-14,2.0035514423105705e-12,2.1616288190209883e-11,0.11435748981509739,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9675000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9675000000_M1024_steps44.phase3_small_divisor_audit.json
