K,M,embedding_residual_linf_max,scalar_residual_linf,upper_triangular_defect_linf_max,a11_minus_1_linf,a21_linf,a22_minus_1_linf,twist_average,twist_min,twist_max,twist_centered_linf,frame_tangent_norm_min,frame_tangent_norm_max,frame_normal_norm_max,frame_det_defect_linf,rep_nu,rep_embedding_residual_l1_nu_proxy,rep_a21_l1_nu,rep_Z_proxy,rep_Q_proxy,rep_radii_margin_proxy,rep_radii_proxy_positive_margin,recommendation_label,recommendation_score,npz_path,record_path
0.9663,128,1.0651937640731177,8.743006318923108e-16,0.01762587845346031,0.01762587845346031,0.012723654335172085,0.0009251981062441406,1.2139287292272563,-0.10986990558312171,3.429974156610225,2.2160454273829684,0.6577867190711559,3.5310504000769987,1.5202496052399397,2.220446049250313e-16,1.003,2.919145726174279,0.014863426140415073,0.6215761315698867,1051.1766849064752,-57327994.98424282,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9663000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9663000000_M128_steps44.phase4_auto_reducibility_audit.json
0.9663,256,1.110061010823323,4.595213098923523e-13,0.013843380027387941,0.013843380027387941,0.002551239456112686,0.000177771680607286,1.2348710893578048,-0.13245835185841243,4.045680268713251,2.810809179355446,0.6028337291311948,4.026639576493549,1.6588321981273377,2.220446049250313e-16,1.003,3.306787505795502,0.0038980785005269243,0.43649069980810773,1293.5558031023345,-90526791.97880332,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9663000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9663000000_M256_steps44.phase4_auto_reducibility_audit.json
0.9663,512,1.1409690616657577,2.145505995088115e-14,0.11428256911803447,0.11428256911803447,0.007398453821487294,0.0003525124095342669,1.2681736582159464,-0.13893042021201585,4.484185702186483,3.2160120439705366,0.56935033131793,4.8002822960644504,1.756387842411901,2.220446049250313e-16,1.003,3.8387682739414535,0.016857152785620874,4.331259851475947,1730.8547786714112,-163240231.7245987,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9663000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9663000000_M512_steps44.phase4_auto_reducibility_audit.json
0.9663,1024,1.0429906398242874,1.203984828501703e-14,0.0014008081107792503,0.0014008081107792503,5.7478270067523596e-05,5.651628699476774e-06,1.2454358801715846,-0.12585614953852775,4.006066005138158,2.7606301249665735,0.6078123441633139,4.598684522988628,1.6452446377615995,2.220446049250313e-16,1.003,4.840430897332942,0.0004566874820187862,0.10730240429113966,1609.2518868566744,-241307876.25842822,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9663000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9663000000_M1024_steps44.phase4_auto_reducibility_audit.json
0.9666,128,1.0651937640731124,2.0775048348298242e-14,0.018019039171113138,0.018019039171113138,0.01300792920973981,0.0009435111925266693,1.215287371253142,-0.11023376015663178,3.438022461677754,2.222735090424612,0.6570667183293892,3.543148600884557,1.5219154647529984,2.220446049250313e-16,1.003,2.91914572617426,0.01519266730162672,0.6354339741020764,1057.063275156085,-57649035.40091562,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9666000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9666000000_M128_steps44.phase4_auto_reducibility_audit.json
0.9666,256,1.1100610108233218,5.115075030204252e-13,0.01448481249926048,0.01448481249926048,0.002671680666959997,0.00018565418418403645,1.2371770505389421,-0.13366842523357136,4.077792221936646,2.8406151713977037,0.6004012399587153,4.051390522335543,1.6655528560679889,2.220446049250313e-16,1.003,3.306787505795509,0.0040809940592306465,0.45706468996933214,1306.6520814517744,-91443314.25737643,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9666000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9666000000_M256_steps44.phase4_auto_reducibility_audit.json
0.9666,512,1.140969061665734,2.99482660892636e-13,0.14807228254487703,0.14807228254487703,0.00930892304638764,0.00044484778859388285,1.2837475578806,-0.1478071309093048,4.697544871132008,3.413797313251408,0.5547201130670633,4.945153743489076,1.8027109103201102,2.220446049250313e-16,1.003,3.8387682739414837,0.021132256477129997,5.558029846545725,1820.8483722736694,-171728021.98365748,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9666000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9666000000_M512_steps44.phase4_auto_reducibility_audit.json
0.9666,1024,1.042990639824287,1.49741330446318e-14,0.0016533702235891345,0.0016533702235891345,6.893641569760689e-05,6.636769601442438e-06,1.2489281845750684,-0.12709224882364745,4.052757535790394,2.8038293512153256,0.6043364119940425,4.663667314019721,1.6547075108389429,2.220446049250313e-16,1.003,4.840430897332953,0.0005438632467098714,0.12672759522239876,1647.5820556883123,-247055513.14716893,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9666000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9666000000_M1024_steps44.phase4_auto_reducibility_audit.json
0.967,128,1.065193764073118,3.1710745140856034e-15,0.018556475721034804,0.018556475721034804,0.013396830202549559,0.0009684769339419752,1.2171283844317409,-0.11072203410918574,3.448845681308493,2.2317172968767522,0.6561026792301328,3.5594337415182733,1.5241516787789897,2.220446049250313e-16,1.003,2.9191457261742806,0.01564294505735575,0.6543809486281733,1065.0115810094967,-58082516.8627927,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9670000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9670000000_M128_steps44.phase4_auto_reducibility_audit.json
0.967,256,1.1100610108233182,5.941913627793838e-13,0.015385119934700153,0.015385119934700153,0.0028411656761577753,0.0001966955357932676,1.2403477484063825,-0.1353319044966672,4.122013570139397,2.8816658217330144,0.5970940972298187,4.085004200164758,1.6747779029125198,2.220446049250313e-16,1.003,3.3067875057955205,0.004338168501575434,0.48596973635645946,1324.5409479999053,-92695238.43544075,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9670000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9670000000_M256_steps44.phase4_auto_reducibility_audit.json
