K,M,base_scalar_residual_linf,base_embedding_residual_linf_max_lift_aware,base_lift_residual_matches_scalar_linf,base_tangent_residual_linf_max,base_upper_triangular_defect_linf_max,best_full_case,best_full_grid_size,best_full_scalar_residual_linf,best_full_tangent_residual_linf_max,best_full_upper_triangular_defect_linf_max,best_any_case,best_any_cutoff_mode,best_any_scalar_residual_linf,best_any_tangent_residual_linf_max,best_any_upper_triangular_defect_linf_max,twist_average_base,frame_det_defect_base,recommendation_label,recommendation_score,npz_path,record_path
0.9663,128,8.743006318923108e-16,8.881784197001252e-16,2.7755575615628914e-16,0.004000911294895104,0.01762587845346264,L128_full,128,8.743006318923108e-16,0.004000911294895104,0.01762587845346264,L128_full,,8.743006318923108e-16,0.004000911294895104,0.01762587845346264,1.213928729227256,0.017100371397853698,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9663000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9663000000_M128_steps44.phase4b_lift_alias_audit.json
0.9663,256,4.595213098923523e-13,4.596323321948148e-13,3.3306690738754696e-16,0.0007382531510957968,0.013843380027358076,L512_full,512,8.991784079259713e-07,0.0007382531510791435,0.002551239456316079,L512_full,,8.991784079259713e-07,0.0007382531510791435,0.002551239456316079,1.2348710893578048,0.013962490828326679,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9663000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9663000000_M256_steps44.phase4b_lift_alias_audit.json
0.9663,512,2.1399548799649892e-14,2.1316282072803006e-14,4.0939474033052647e-16,0.001711584943273614,0.11428256911804502,L2048_full,2048,1.0375493177143189e-06,0.0017115849432243202,0.00739845382061155,L512_cut_0.750,192,1.176624069176846e-06,0.0014676800600232909,0.006932374109003048,1.268173658215947,0.1148005686866721,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9663000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9663000000_M512_steps44.phase4b_lift_alias_audit.json
0.9663,1024,1.2032909391113122e-14,1.2101430968414206e-14,3.885780586188048e-16,3.1489642824844566e-05,0.001400808110718299,L1024_full,1024,1.2032909391113122e-14,3.1489642824844566e-05,0.001400808110718299,L1024_full,,1.2032909391113122e-14,3.1489642824844566e-05,0.001400808110718299,1.2454358801715855,0.0013904610099069181,moderate_needs_refined_seed_or_filter_strategy,2,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9663000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9663000000_M1024_steps44.phase4b_lift_alias_audit.json
0.9666,128,2.0788926136106056e-14,2.0872192862952943e-14,3.0531133177191805e-16,0.004076557929853619,0.018019039171100926,L512_full,512,9.72870325109676e-06,0.004076557929847402,0.013007929209767788,L512_full,,9.72870325109676e-06,0.004076557929847402,0.013007929209767788,1.2152873712531425,0.017480665608362367,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9666000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9666000000_M128_steps44.phase4b_lift_alias_audit.json
0.9666,256,5.114797474448096e-13,5.115907697472721e-13,3.885780586188048e-16,0.0007706311705957258,0.014484812499286348,L1024_full,1024,9.386083232865161e-07,0.0007706311705302504,0.002671680666880949,L1024_full,,9.386083232865161e-07,0.0007706311705302504,0.002671680666880949,1.237177050538942,0.014605983880466966,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9666000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9666000000_M256_steps44.phase4b_lift_alias_audit.json
0.9666,512,2.99482660892636e-13,2.9953817204386723e-13,3.235259282696745e-16,0.002090562569023735,0.1480722825449271,L512_full,512,2.99482660892636e-13,0.002090562569023735,0.1480722825449271,L512_cut_0.750,192,1.3960927332801187e-06,0.001737154655815143,0.00870589062726479,1.2837475578806,0.14867439302184748,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9666000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9666000000_M512_steps44.phase4b_lift_alias_audit.json
0.9666,1024,1.49741330446318e-14,1.509903313490213e-14,3.608224830031759e-16,3.7321088972142036e-05,0.0016533702235602687,L4096_full,4096,1.141302552465362e-08,3.732108879594964e-05,6.893641471772405e-05,L4096_full,,1.141302552465362e-08,3.732108879594964e-05,6.893641471772405e-05,1.2489281845750693,0.0016412720764166222,moderate_needs_refined_seed_or_filter_strategy,2,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9666000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9666000000_M1024_steps44.phase4b_lift_alias_audit.json
0.967,128,3.1780134079895106e-15,3.219646771412954e-15,3.694961003830599e-16,0.004179532673571407,0.018556475721027588,L128_full,128,3.1780134079895106e-15,0.004179532673571407,0.018556475721027588,L128_full,,3.1780134079895106e-15,0.004179532673571407,0.018556475721027588,1.2171283844317409,0.018000437751044762,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9670000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9670000000_M128_steps44.phase4b_lift_alias_audit.json
0.967,256,5.941913627793838e-13,5.943023850818463e-13,3.191891195797325e-16,0.0008159145092609954,0.015385119934751668,L1024_full,1024,9.937539206805734e-07,0.0008159145091904685,0.0028411656759392834,L1024_full,,9.937539206805734e-07,0.0008159145091904685,0.0028411656759392834,1.2403477484063812,0.015508749195342508,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9670000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9670000000_M256_steps44.phase4b_lift_alias_audit.json
