K,M_in,M_out,oversample,cutoff_mode,lambda_h1,eta_high,solve_status,converged_h1,before_scalar_linf,after_scalar_linf,before_derivative_linf,after_derivative_linf,after_native_scalar_linf,weighted_after_residual_l1_nu,weighted_after_derivative_l1_nu,output_npz,record_path
0.971635,4096,8192,2,,4.0,1e-08,converged-h1,True,7.4457026100205326e-09,1.6712769896308488e-09,0.0001121627013747516,2.014855403222574e-05,1.6712769965697427e-09,7.958592051847444e-06,0.35466900230397147,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/embeddings/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_full_h14p0_eta1em08.npz,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/records/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_full_h14p0_eta1em08.phase4i_h1_polish.json
0.971635,4096,8192,2,,1.0,1e-08,converged-h1,True,7.4457026100205326e-09,1.6712929976590851e-09,0.0001121627013747516,2.014878139230202e-05,1.6712929941896382e-09,7.671285832306623e-06,0.3398649493633862,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/embeddings/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_full_h11p0_eta1em08.npz,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/records/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_full_h11p0_eta1em08.phase4i_h1_polish.json
0.971635,4096,8192,2,,2.0,1e-08,converged-h1,True,7.4457026100205326e-09,1.6713031483935048e-09,0.0001121627013747516,2.0148923613828753e-05,1.6713031622712926e-09,8.097548302935468e-06,0.3617771691146729,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/embeddings/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_full_h12p0_eta1em08.npz,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/records/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_full_h12p0_eta1em08.phase4i_h1_polish.json
0.971635,4096,8192,2,,0.5,1e-08,converged-h1,True,7.4457026100205326e-09,1.6713166547336483e-09,0.0001121627013747516,2.014910383081346e-05,1.6713166512642014e-09,7.87719892941965e-06,0.3507871149819268,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/embeddings/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_full_h10p5_eta1em08.npz,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/records/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_full_h10p5_eta1em08.phase4i_h1_polish.json
0.971635,4096,8192,2,3891,0.5,1e-08,converged-h1,True,7.445702637776108e-09,1.6712997112557776e-09,0.00011216270210996415,2.0159262041173565e-05,1.6712997077863306e-09,8.044612498347781e-06,0.35240439961959913,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/embeddings/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_cut3891_h10p5_eta1em08.npz,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/records/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_cut3891_h10p5_eta1em08.phase4i_h1_polish.json
0.971635,4096,8192,2,3891,2.0,1e-08,converged-h1,True,7.445702637776108e-09,1.6713090609816322e-09,0.00011216270210996415,2.015939263434506e-05,1.671309081798314e-09,8.542399225155261e-06,0.3779351377178406,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/embeddings/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_cut3891_h12p0_eta1em08.npz,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/records/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_cut3891_h12p0_eta1em08.phase4i_h1_polish.json
0.971635,4096,8192,2,3891,1.0,1e-08,converged-h1,True,7.445702637776108e-09,1.6713135736479146e-09,0.00011216270210996415,2.0159457452222147e-05,1.6713135805868085e-09,8.107489795534079e-06,0.35575271991639273,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/embeddings/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_cut3891_h11p0_eta1em08.npz,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/records/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_cut3891_h11p0_eta1em08.phase4i_h1_polish.json
0.971635,4096,8192,2,3891,4.0,1e-08,converged-h1,True,7.445702637776108e-09,1.671319279153427e-09,0.00011216270210996415,2.015953884604985e-05,1.6713192652756392e-09,8.070715704674493e-06,0.3536309822346876,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/embeddings/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_cut3891_h14p0_eta1em08.npz,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/records/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_cut3891_h14p0_eta1em08.phase4i_h1_polish.json
0.971635,4096,4096,2,,0.5,1e-08,max-newton-reached,False,7.33467142577382e-09,4.8111632733327525e-09,0.00011216243221131763,7.266838227460603e-05,4.8111632733327525e-09,2.3891730524573402e-05,0.42957770192613365,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/embeddings/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_full_h10p5_eta1em08.npz,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/records/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_full_h10p5_eta1em08.phase4i_h1_polish.json
0.971635,4096,4096,2,,4.0,1e-08,max-newton-reached,False,7.33467142577382e-09,4.8142645703297404e-09,0.00011216243221131763,7.266964962222105e-05,4.8142645703297404e-09,2.389178710723012e-05,0.4295781799226406,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/embeddings/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_full_h14p0_eta1em08.npz,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_M4096seed/records/K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_full_h14p0_eta1em08.phase4i_h1_polish.json
