K,M,base_embedding_residual_linf_max_lift_aware,base_old_shifted_normal_upper_triangular_defect_linf_max,base_scalar_residual_linf,base_shifted_normal_target_det_defect_linf,base_source_frame_det_defect_linf,base_tangent_residual_linf_max,base_target_frame_det_defect_linf,base_upper_triangular_defect_linf_max,best_any_case,best_any_cutoff_mode,best_any_scalar_residual_linf,best_any_tangent_residual_linf_max,best_any_upper_triangular_defect_linf_max,best_full_a21_linf,best_full_case,best_full_grid_size,best_full_scalar_residual_linf,best_full_source_frame_det_defect_linf,best_full_tangent_residual_linf_max,best_full_target_frame_det_defect_linf,best_full_upper_triangular_defect_linf_max,npz_path,recommendation_label,recommendation_score,record_path,twist_average_best_full
0.971635,8192,2.4690971489604863e-09,0.011701647022567485,2.469097037938184e-09,0.011564937565234246,2.220446049250313e-16,6.276360527879277e-05,2.220446049250313e-16,0.0002162919110988426,L8192_full,,2.469097037938184e-09,6.276360527879277e-05,0.0002162919110988426,0.0002162919110988426,L8192_full,8192,2.469097037938184e-09,2.220446049250313e-16,6.276360527879277e-05,2.220446049250313e-16,0.0002162919110988426,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/021_K0p9716350000_M8192_from_originalM4096_M8192_os2_full_h10p5_eta1em08.npz,moderate_needs_one_more_precision_or_frame_polish,4,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/021_K0p9716350000_M8192_from_originalM4096_M8192_os2_full_h10p5_eta1em08.phase4d_target_frame_audit.json,1.5250740950029382
0.971635,8192,2.4693014299970173e-09,0.011701482617565206,2.4693014299970173e-09,0.011564777036817686,2.220446049250313e-16,6.277211815941541e-05,2.220446049250313e-16,0.00021632494505929856,L8192_full,,2.4693014299970173e-09,6.277211815941541e-05,0.00021632494505929856,0.00021632494505929856,L8192_full,8192,2.4693014299970173e-09,2.220446049250313e-16,6.277211815941541e-05,2.220446049250313e-16,0.00021632494505929856,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/022_K0p9716350000_M8192_from_originalM4096_M8192_os2_full_h11p0_eta1em08.npz,moderate_needs_one_more_precision_or_frame_polish,4,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/022_K0p9716350000_M8192_from_originalM4096_M8192_os2_full_h11p0_eta1em08.phase4d_target_frame_audit.json,1.5250741133909247
0.971635,8192,2.4693028732869493e-09,0.011701487142625755,2.4693027900202225e-09,0.011564781453279438,2.220446049250313e-16,6.277335805315865e-05,3.3306690738754696e-16,0.00021633089760353386,L8192_full,,2.4693027900202225e-09,6.277335805315865e-05,0.00021633089760353386,0.00021633089760353386,L8192_full,8192,2.4693027900202225e-09,2.220446049250313e-16,6.277335805315865e-05,3.3306690738754696e-16,0.00021633089760353386,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/023_K0p9716350000_M8192_from_originalM4096_M8192_os2_full_h12p0_eta1em08.npz,moderate_needs_one_more_precision_or_frame_polish,4,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/023_K0p9716350000_M8192_from_originalM4096_M8192_os2_full_h12p0_eta1em08.phase4d_target_frame_audit.json,1.525074120937956
0.971635,8192,2.4694203348829546e-09,0.011701433434692987,2.4694203348829546e-09,0.011564729010982822,3.3306690738754696e-16,6.277580626612433e-05,2.220446049250313e-16,0.00021634006339965595,L8192_full,,2.4694203348829546e-09,6.277580626612433e-05,0.00021634006339965595,0.00021634006339965595,L8192_full,8192,2.4694203348829546e-09,3.3306690738754696e-16,6.277580626612433e-05,2.220446049250313e-16,0.00021634006339965595,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/024_K0p9716350000_M8192_from_originalM4096_M8192_os2_full_h14p0_eta1em08.npz,moderate_needs_one_more_precision_or_frame_polish,4,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/024_K0p9716350000_M8192_from_originalM4096_M8192_os2_full_h14p0_eta1em08.phase4d_target_frame_audit.json,1.5250741262332492
0.971635,4096,4.811163245577177e-09,0.03485345858003264,4.8111632733327525e-09,0.03367969516200087,2.220446049250313e-16,6.216214631260542e-05,3.3306690738754696e-16,0.00022118829538175788,L4096_full,,4.8111632733327525e-09,6.216214631260542e-05,0.00022118829538175788,0.00022118829538175788,L4096_full,4096,4.8111632733327525e-09,2.220446049250313e-16,6.216214631260542e-05,3.3306690738754696e-16,0.00022118829538175788,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/005_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_full_h10p5_eta1em08.npz,moderate_needs_one_more_precision_or_frame_polish,4,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/005_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_full_h10p5_eta1em08.phase4d_target_frame_audit.json,1.465754096149336
0.971635,4096,4.814264542574165e-09,0.03485345335450574,4.8142645703297404e-09,0.033679690309776245,3.3306690738754696e-16,6.216286454918674e-05,2.220446049250313e-16,0.0002211908692597575,L4096_full,,4.8142645703297404e-09,6.216286454918674e-05,0.0002211908692597575,0.0002211908692597575,L4096_full,4096,4.8142645703297404e-09,3.3306690738754696e-16,6.216286454918674e-05,2.220446049250313e-16,0.0002211908692597575,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/008_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_full_h14p0_eta1em08.npz,moderate_needs_one_more_precision_or_frame_polish,4,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/008_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_full_h14p0_eta1em08.phase4d_target_frame_audit.json,1.4657540799098494
0.971635,4096,4.814925236296119e-09,0.03485349833133178,4.814925125273817e-09,0.033679732338555146,3.3306690738754696e-16,6.217542482778171e-05,3.3306690738754696e-16,0.00022123580317767733,L4096_full,,4.814925125273817e-09,6.217542482778171e-05,0.00022123580317767733,0.00022123580317767733,L4096_full,4096,4.814925125273817e-09,3.3306690738754696e-16,6.217542482778171e-05,3.3306690738754696e-16,0.00022123580317767733,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/007_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_full_h12p0_eta1em08.npz,moderate_needs_one_more_precision_or_frame_polish,4,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/007_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_full_h12p0_eta1em08.phase4d_target_frame_audit.json,1.4657538663952459
0.971635,4096,4.814345810899567e-09,0.03485349413831984,4.814345866410719e-09,0.03367972842489775,3.3306690738754696e-16,6.217623649873438e-05,2.220446049250313e-16,0.00022123870637225096,L4096_full,,4.814345866410719e-09,6.217623649873438e-05,0.00022123870637225096,0.00022123870637225096,L4096_full,4096,4.814345866410719e-09,3.3306690738754696e-16,6.217623649873438e-05,2.220446049250313e-16,0.00022123870637225096,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/006_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_full_h11p0_eta1em08.npz,moderate_needs_one_more_precision_or_frame_polish,4,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/006_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_full_h11p0_eta1em08.phase4d_target_frame_audit.json,1.465753850546135
0.971635,8192,5.626746846232322e-09,0.01629001725556689,5.62674673521002e-09,0.01602829835547781,2.220446049250313e-16,0.00011518254781317516,2.220446049250313e-16,0.000423696913403937,L8192_full,,5.62674673521002e-09,0.00011518254781317516,0.000423696913403937,0.000423696913403937,L8192_full,8192,5.62674673521002e-09,2.220446049250313e-16,0.00011518254781317516,2.220446049250313e-16,0.000423696913403937,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/019_K0p9716350000_M8192_from_originalM4096_M8192_os2_cut3891_h12p0_eta1em08.npz,moderate_needs_one_more_precision_or_frame_polish,4,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/019_K0p9716350000_M8192_from_originalM4096_M8192_os2_cut3891_h12p0_eta1em08.phase4d_target_frame_audit.json,1.5252346016979412
0.971635,8192,5.626761390153945e-09,0.01629002092643894,5.626761390153945e-09,0.016028301908446063,2.220446049250313e-16,0.000115182056132479,3.3306690738754696e-16,0.00042369928359065057,L8192_full,,5.626761390153945e-09,0.000115182056132479,0.00042369928359065057,0.00042369928359065057,L8192_full,8192,5.626761390153945e-09,2.220446049250313e-16,0.000115182056132479,3.3306690738754696e-16,0.00042369928359065057,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/017_K0p9716350000_M8192_from_originalM4096_M8192_os2_cut3891_h10p5_eta1em08.npz,moderate_needs_one_more_precision_or_frame_polish,4,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/017_K0p9716350000_M8192_from_originalM4096_M8192_os2_cut3891_h10p5_eta1em08.phase4d_target_frame_audit.json,1.5252346018186183
