K,M,nu,cutoff_spec,cutoff_mode_native_units,tail_start_frac,grid_factor,grid_size,radius,scalar_residual_linf,derivative_residual_linf,residual_l1_nu_total_upper,tail_residual_component_upper,small_divisor_min_denominator_lower,small_divisor_min_mode,cohomology_inverse_linf_resolved_upper,a11_minus_1_linf,a21_linf,a22_minus_1_linf,upper_triangular_defect_linf_max,source_frame_det_defect_linf,target_frame_det_defect_linf,twist_average,twist_min,twist_max,Y_interval_upper,Z_interval_upper,Q_interval_upper,radii_lhs_interval_upper,radii_margin_interval_lower,radii_relative_margin_interval_lower,dominant_interval_term,any_positive_interval_margin,recommendation_label,recommendation_score,record_path,npz_path
0.971635,8192,1.001,full,4095,0.9,4,32768,3e-05,1.6712770139169775e-09,2.0148550890491564e-05,2.0532660659488623e-08,2.8276738383006607e-10,0.0010874325336751739,2584,919.5972798609583,4.717148230248824e-06,0.0001717048746847638,2.3030507914079124e-06,0.0001717048746847638,3.3306690738754696e-16,3.3306690738754696e-16,1.4650834088702989,-0.23879527226722863,7.293471926256523,6.748879097189362e-08,0.2052691364096682,494.00037837392784,6.6701642237984755e-06,2.3329834776201522e-05,0.7776611592067174,Zr_interval,True,backend_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5c_interval_backend_selected_seed/records/K0p971635_M8192_nu1p001_full_tail0p9_g4_r3em05.phase5c_interval_backend.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,full,4095,0.75,4,32768,3e-05,1.6712770139169775e-09,2.0148550890491564e-05,2.0532660659488623e-08,2.8276738383006607e-10,0.0010874325336751739,2584,919.5972798609583,4.717148230248824e-06,0.0001717048746847638,2.3030507914079124e-06,0.0001717048746847638,3.3306690738754696e-16,3.3306690738754696e-16,1.4650834088702989,-0.23879527226722863,7.293471926256523,6.748879097189362e-08,0.2052691364096682,494.00037837392784,6.6701642237984755e-06,2.3329834776201522e-05,0.7776611592067174,Zr_interval,True,backend_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5c_interval_backend_selected_seed/records/K0p971635_M8192_nu1p001_full_tail0p75_g4_r3em05.phase5c_interval_backend.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,frac:0.95,3890,0.9,4,32768,3e-05,1.6712770139169775e-09,2.0148550890491564e-05,2.0532660659488623e-08,5.225760470151204e-09,0.0010874325336751739,2584,919.5972798609583,4.717148230248824e-06,0.0001717048746847638,2.3030507914079124e-06,0.0001717048746847638,3.3306690738754696e-16,3.3306690738754696e-16,1.4650834088702989,-0.23879527226722863,7.293471926256523,7.317323302116292e-08,0.2052691364096682,494.0068474920759,6.675854488054079e-06,2.332414451194592e-05,0.7774714837315306,Zr_interval,True,backend_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5c_interval_backend_selected_seed/records/K0p971635_M8192_nu1p001_frac0p95_tail0p9_g4_r3em05.phase5c_interval_backend.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,frac:0.95,3890,0.75,4,32768,3e-05,1.6712770139169775e-09,2.0148550890491564e-05,2.0532660659488623e-08,5.225760470151204e-09,0.0010874325336751739,2584,919.5972798609583,4.717148230248824e-06,0.0001717048746847638,2.3030507914079124e-06,0.0001717048746847638,3.3306690738754696e-16,3.3306690738754696e-16,1.4650834088702989,-0.23879527226722863,7.293471926256523,7.317323302116292e-08,0.2052691364096682,494.0068474920759,6.675854488054079e-06,2.332414451194592e-05,0.7774714837315306,Zr_interval,True,backend_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5c_interval_backend_selected_seed/records/K0p971635_M8192_nu1p001_frac0p95_tail0p75_g4_r3em05.phase5c_interval_backend.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,frac:0.90,3685,0.9,4,32768,3e-05,1.6712770139169775e-09,2.0148550890491564e-05,2.0532660659488623e-08,7.433880500809837e-09,0.0010874325336751739,2584,919.5972798609583,4.717148230248824e-06,0.0001717048746847638,2.3030507914079124e-06,0.0001717048746847638,3.3306690738754696e-16,3.3306690738754696e-16,1.4650834088702989,-0.23879527226722863,7.293471926256523,7.571257105642035e-08,0.2052691364096682,494.00959084856163,6.678396295110173e-06,2.3321602704889823e-05,0.7773867568296607,Zr_interval,True,backend_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5c_interval_backend_selected_seed/records/K0p971635_M8192_nu1p001_frac0p90_tail0p9_g4_r3em05.phase5c_interval_backend.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,frac:0.90,3685,0.75,4,32768,3e-05,1.6712770139169775e-09,2.0148550890491564e-05,2.0532660659488623e-08,7.433880500809837e-09,0.0010874325336751739,2584,919.5972798609583,4.717148230248824e-06,0.0001717048746847638,2.3030507914079124e-06,0.0001717048746847638,3.3306690738754696e-16,3.3306690738754696e-16,1.4650834088702989,-0.23879527226722863,7.293471926256523,7.571257105642035e-08,0.2052691364096682,494.00959084856163,6.678396295110173e-06,2.3321602704889823e-05,0.7773867568296607,Zr_interval,True,backend_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5c_interval_backend_selected_seed/records/K0p971635_M8192_nu1p001_frac0p90_tail0p75_g4_r3em05.phase5c_interval_backend.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,full,4095,0.9,4,32768,1e-05,1.6712770139169775e-09,2.0148550890491564e-05,2.0532660659488623e-08,2.8276738383006607e-10,0.0010874325336751739,2584,919.5972798609583,4.717148230248824e-06,0.0001717048746847638,2.3030507914079124e-06,0.0001717048746847638,3.3306690738754696e-16,3.3306690738754696e-16,1.4650834088702989,-0.23879527226722863,7.293471926256523,6.748879097189362e-08,0.2052691364096682,494.00037837392784,2.169581192905969e-06,7.830417807094031e-06,0.783041780709403,Zr_interval,True,backend_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5c_interval_backend_selected_seed/records/K0p971635_M8192_nu1p001_full_tail0p9_g4_r1em05.phase5c_interval_backend.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,full,4095,0.75,4,32768,1e-05,1.6712770139169775e-09,2.0148550890491564e-05,2.0532660659488623e-08,2.8276738383006607e-10,0.0010874325336751739,2584,919.5972798609583,4.717148230248824e-06,0.0001717048746847638,2.3030507914079124e-06,0.0001717048746847638,3.3306690738754696e-16,3.3306690738754696e-16,1.4650834088702989,-0.23879527226722863,7.293471926256523,6.748879097189362e-08,0.2052691364096682,494.00037837392784,2.169581192905969e-06,7.830417807094031e-06,0.783041780709403,Zr_interval,True,backend_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5c_interval_backend_selected_seed/records/K0p971635_M8192_nu1p001_full_tail0p75_g4_r1em05.phase5c_interval_backend.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,frac:0.95,3890,0.9,4,32768,1e-05,1.6712770139169775e-09,2.0148550890491564e-05,2.0532660659488623e-08,5.225760470151204e-09,0.0010874325336751739,2584,919.5972798609583,4.717148230248824e-06,0.0001717048746847638,2.3030507914079124e-06,0.0001717048746847638,3.3306690738754696e-16,3.3306690738754696e-16,1.4650834088702989,-0.23879527226722863,7.293471926256523,7.317323302116292e-08,0.2052691364096682,494.0068474920759,2.175266281867053e-06,7.824732718132946e-06,0.7824732718132945,Zr_interval,True,backend_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5c_interval_backend_selected_seed/records/K0p971635_M8192_nu1p001_frac0p95_tail0p9_g4_r1em05.phase5c_interval_backend.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,frac:0.95,3890,0.75,4,32768,1e-05,1.6712770139169775e-09,2.0148550890491564e-05,2.0532660659488623e-08,5.225760470151204e-09,0.0010874325336751739,2584,919.5972798609583,4.717148230248824e-06,0.0001717048746847638,2.3030507914079124e-06,0.0001717048746847638,3.3306690738754696e-16,3.3306690738754696e-16,1.4650834088702989,-0.23879527226722863,7.293471926256523,7.317323302116292e-08,0.2052691364096682,494.0068474920759,2.175266281867053e-06,7.824732718132946e-06,0.7824732718132945,Zr_interval,True,backend_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5c_interval_backend_selected_seed/records/K0p971635_M8192_nu1p001_frac0p95_tail0p75_g4_r1em05.phase5c_interval_backend.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
